,US_Mkt_RF,US_SMB,US_HML,US_RMW,US_CMA,US_MOM,US_RF,DEV_Mkt_RF,DEV_SMB,DEV_HML,DEV_RMW,DEV_CMA,DEV_MOM,DEV_RF,EM_Mkt_RF,EM_SMB,EM_HML,EM_RMW,EM_CMA,EM_MOM,EM_RF
2014-12-31,-0.0005,0.028300000000000002,0.0212,-0.0121,0.009000000000000001,0.0103,0.0,-0.028999999999999998,0.0182,-0.006,0.0085,-0.0108,0.0207,0.0,-0.039599999999999996,0.0079,-0.0037,0.0149,0.0131,-0.0018,0.0
2015-01-31,-0.030899999999999997,-0.009300000000000001,-0.0345,0.0158,-0.016399999999999998,0.0374,0.0,-0.0027,-0.006,-0.0118,0.0178,-0.0016,0.0394,0.0,0.0078000000000000005,-0.0029,-0.0181,0.0176,0.0063,0.0397,0.0
2015-02-28,0.061399999999999996,0.0036,-0.0179,-0.011000000000000001,-0.0175,-0.031,0.0,0.0564,-0.0144,0.0076,-0.0103,-0.0037,-0.0313,0.0,0.0256,-0.0046,0.015600000000000001,-0.0051,0.0042,-0.0124,0.0
2015-03-31,-0.0109,0.0308,-0.0038,0.0007000000000000001,-0.0062,0.027000000000000003,0.0,-0.0127,0.0083,-0.0079,0.006500000000000001,-0.0043,0.0206,0.0,-0.0106,0.0086,-0.010700000000000001,0.0058,-0.0074,0.0279,0.0
2015-04-30,0.006,-0.0301,0.018000000000000002,0.0005,-0.0062,-0.0727,0.0,0.049,0.023399999999999997,0.0083,-0.0176,-0.01,-0.0132,0.0,0.0729,0.013999999999999999,0.0434,-0.0297,0.0026,-0.0233,0.0
2015-05-31,0.0138,0.008199999999999999,-0.0111,-0.0176,-0.0083,0.056799999999999996,0.0,-0.0042,0.0181,-0.0074,-0.0086,-0.0042,0.0334,0.0,-0.0286,0.04190000000000001,-0.0187,-0.0048,0.0001,0.032799999999999996,0.0
2015-06-30,-0.0154,0.028999999999999998,-0.008199999999999999,0.0034999999999999996,-0.0154,0.0301,0.0,-0.0259,0.0213,0.0013,0.0063,0.0032,0.0171,0.0,-0.023399999999999997,-0.0032,-0.0265,0.0044,0.0017000000000000001,0.0161,0.0
2015-07-31,0.015700000000000002,-0.0458,-0.0416,0.0031,-0.024399999999999998,0.09970000000000001,0.0,0.0077,-0.0321,-0.0315,0.024900000000000002,0.0011,0.0123,0.0,-0.0672,0.0007000000000000001,-0.015600000000000001,0.0223,0.0023,0.0169,0.0
2015-08-31,-0.0602,0.0029,0.0275,0.0066,0.0129,-0.0216,0.0,-0.0634,0.018799999999999997,0.0005,0.0019,0.0045000000000000005,-0.0008,0.0,-0.0877,-0.0111,-0.0085,0.0095,0.0066,0.011699999999999999,0.0
2015-09-30,-0.030600000000000002,-0.027999999999999997,0.0055000000000000005,0.018000000000000002,-0.0059,0.0524,0.0,-0.0464,0.0175,-0.019799999999999998,0.009899999999999999,-0.0003,0.0382,0.0,-0.020499999999999997,0.0277,-0.002,-0.006999999999999999,-0.0034999999999999996,0.009000000000000001,0.0
2015-10-31,0.0775,-0.0206,-0.004699999999999999,0.0095,0.0060999999999999995,-0.0319,0.0,0.0683,-0.0256,0.011200000000000002,0.0045000000000000005,-0.009899999999999999,-0.026000000000000002,0.0,0.0711,-0.0137,-0.004699999999999999,0.0032,-0.0115,-0.0354,0.0
2015-11-30,0.005699999999999999,0.033,-0.0043,-0.0265,-0.0106,0.0229,0.0,-0.0131,0.0123,-0.0229,0.0231,-0.015,0.025099999999999997,0.0,-0.0281,0.0123,-0.0218,0.0004,-0.0146,0.0277,0.0
2015-12-31,-0.0215,-0.029500000000000002,-0.025699999999999997,0.0034000000000000002,0.0012,0.0334,0.0001,-0.0121,0.0255,-0.0127,0.0084,-0.0076,0.0316,0.0001,-0.0163,0.018600000000000002,0.0058,0.0138,0.0072,0.0076,0.0001
2016-01-31,-0.0574,-0.0344,0.0208,0.0278,0.0305,0.016,0.0001,-0.0675,-0.005699999999999999,-0.0158,0.028999999999999998,0.021,0.0126,0.0001,-0.06269999999999999,-0.0173,-0.009399999999999999,0.0014000000000000002,0.0083,0.017,0.0001
2016-02-29,-0.0007000000000000001,0.0087,-0.0060999999999999995,0.0331,0.0194,-0.0435,0.0002,-0.0108,0.015300000000000001,-0.0044,-0.0005,0.0129,-0.003,0.0002,-0.0060999999999999995,-0.0004,0.0163,-0.006500000000000001,0.0077,-0.0326,0.0002
2016-03-31,0.0695,0.01,0.012199999999999999,0.0068000000000000005,0.0001,-0.0504,0.0002,0.0701,0.0166,-0.0019,0.0097,-0.013000000000000001,-0.013300000000000001,0.0002,0.1206,-0.019799999999999998,0.029900000000000003,-0.017,0.0034000000000000002,-0.0512,0.0002
2016-04-30,0.0091,0.0123,0.0322,-0.0285,0.0177,-0.059800000000000006,0.0001,0.0325,0.0066,0.029500000000000002,-0.0202,0.009000000000000001,-0.0232,0.0001,0.0125,0.011000000000000001,0.021099999999999997,-0.0134,0.015600000000000001,-0.015300000000000001,0.0001
2016-05-31,0.0178,-0.0062,-0.016200000000000003,-0.011000000000000001,-0.0254,0.0147,0.0001,-0.0092,0.0032,-0.0202,0.0108,-0.013300000000000001,0.0297,0.0001,-0.0351,0.0011,-0.0298,0.0154,-0.0177,0.0545,0.0001
2016-06-30,-0.0003,0.0042,-0.0149,0.014499999999999999,0.019,0.042,0.0002,-0.032799999999999996,0.011399999999999999,-0.014499999999999999,0.0227,0.0231,0.0647,0.0002,0.041100000000000005,-0.0062,0.0175,0.0029,0.012,-0.0079,0.0002
2016-07-31,0.0394,0.024700000000000003,-0.0124,0.0131,-0.0116,-0.0331,0.0002,0.050300000000000004,0.0017000000000000001,0.0222,-0.0001,-0.011699999999999999,-0.0111,0.0002,0.04650000000000001,-0.003,0.034,-0.001,0.0098,-0.0176,0.0002
2016-08-31,0.0049,0.0166,0.0317,-0.018500000000000003,-0.0036,-0.0341,0.0002,0.0009,-0.0003,0.024700000000000003,-0.011699999999999999,-0.0068000000000000005,-0.041100000000000005,0.0002,0.0241,-0.0132,0.015,0.008199999999999999,-0.0084,0.0151,0.0002
2016-09-30,0.0027,0.0181,-0.011899999999999999,-0.0218,0.0003,0.0026,0.0002,0.0159,0.0209,-0.0045000000000000005,0.0002,0.0085,0.0281,0.0002,0.012199999999999999,0.0070999999999999995,-0.0052,0.0087,-0.0053,0.0139,0.0002
2016-10-31,-0.020099999999999996,-0.04019999999999999,0.041100000000000005,0.009899999999999999,0.0025,0.0051,0.0002,-0.0167,0.0054,0.0512,-0.0231,0.013300000000000001,-0.0158,0.0002,-0.0018,-0.0062,0.035,-0.0173,0.0163,-0.0060999999999999995,0.0002
2016-11-30,0.048499999999999995,0.0696,0.08289999999999999,-0.0024,0.0371,-0.04769999999999999,0.0001,-0.022000000000000002,-0.0013,0.0285,-0.0176,0.0089,-0.0424,0.0001,-0.0449,0.0024,0.0274,-0.0029,0.011899999999999999,-0.0046,0.0001
2016-12-31,0.0181,0.0044,0.0347,0.0124,-0.0032,-0.0027,0.0003,0.0279,-0.0095,0.018500000000000003,-0.0025,0.0058,-0.0207,0.0003,0.004,0.0076,0.011399999999999999,0.0005,0.0055000000000000005,-0.0045000000000000005,0.0003
2017-01-31,0.0194,-0.0144,-0.0276,-0.0051,-0.0106,-0.009300000000000001,0.0004,0.0356,0.013999999999999999,0.0085,-0.0048,0.0043,0.0287,0.0004,0.052000000000000005,-0.0086,0.0322,-0.0098,0.0178,0.028900000000000002,0.0004
2017-02-28,0.0355,-0.023,-0.015,0.0045000000000000005,-0.018000000000000002,-0.0151,0.0004,0.0077,0.0076,-0.0072,0.0113,-0.0039000000000000003,-0.0155,0.0004,0.034300000000000004,0.001,0.0273,-0.004699999999999999,-0.0033,-0.0025,0.0004
2017-03-31,0.0017000000000000001,0.0075,-0.0333,0.0063,-0.0095,-0.0097,0.0003,0.0302,-0.0108,-0.0086,0.012,-0.0014000000000000002,0.0046,0.0003,0.0278,0.0027,-0.0048,0.0217,0.0007000000000000001,0.015600000000000001,0.0003
2017-04-30,0.0108,0.0040999999999999995,-0.020499999999999997,0.0179,-0.016,0.0048,0.0005,0.0277,-0.006,-0.0064,0.0092,-0.006,-0.001,0.0005,0.0172,-0.009399999999999999,-0.0128,0.0095,-0.0062,0.0104,0.0005
2017-05-31,0.010700000000000001,-0.029900000000000003,-0.0382,0.009899999999999999,-0.0166,0.015,0.0006,0.0352,-0.0027,-0.0175,0.016200000000000003,-0.0044,0.0031,0.0006,0.024,-0.0229,-0.0169,0.022000000000000002,-0.0143,0.0189,0.0006
